Module_id,Module_name,KO_count,KO_set
M00159,"V/A-type ATPase, prokaryotes",9,"K02107,K02117,K02118,K02119,K02120,K02121,K02122,K02123,K02124"
M00160,"V-type ATPase, eukaryotes",14,"K02144,K02145,K02146,K02147,K02148,K02149,K02150,K02151,K02152,K02153,K02154,K02155,K03661,K03662"
M00161,Photosystem II,6,"K02703,K02704,K02705,K02706,K02707,K02708"
M00162,Cytochrome b6f complex,8,"K02634,K02635,K02636,K02637,K02640,K02642,K02643,K03689"
M00163,Photosystem I,6,"K02689,K02690,K02691,K02692,K02693,K02694"
M00165,Reductive pentose phosphate cycle (Calvin cycle),17,"K00134,K00150,K00615,K00855,K00927,K01086,K01100,K01601,K01602,K01623,K01624,K01807,K01808,K02446,K03841,K05298,K11532"
M00166,"Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P",7,"K00134,K00150,K00855,K00927,K01601,K01602,K05298"
M00167,"Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P",10,"K00615,K01086,K01100,K01623,K01624,K01807,K01808,K02446,K03841,K11532"
M00168,"CAM (Crassulacean acid metabolism), dark",4,"K00024,K00025,K00026,K01595"
M00169,"CAM (Crassulacean acid metabolism), light",2,"K00029,K01006"
M00170,"C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type",4,"K01595,K01610,K14454,K14455"
M00171,"C4-dicarboxylic acid cycle, NAD - malic enzyme type",9,"K00025,K00026,K00028,K00814,K01006,K01595,K14272,K14454,K14455"
M00172,"C4-dicarboxylic acid cycle, NADP - malic enzyme type",4,"K00029,K00051,K01006,K01595"
M00173,Reductive citrate cycle (Arnon-Buchanan cycle),43,"K00024,K00031,K00169,K00170,K00171,K00172,K00174,K00175,K00176,K00177,K00239,K00240,K00241,K00242,K00244,K00245,K00246,K00247,K01006,K01007,K01595,K01676,K01677,K01678,K01679,K01681,K01682,K01902,K01903,K01958,K01959,K01960,K03737,K15230,K15231,K15232,K15233,K15234,K18556,K18557,K18558,K18559,K18560"
