taxon,hex_colour
Acrocarpospora macrocephala,#6E69E5
Acrocarpospora phusangensis,#0FA7CD
Acrocarpospora pleiomorpha,#63B1E1
Acrocarpospora sp. H8750,#E2D832
Actibacterium,#5825E0
Actibacterium atlanticum,#8269F1
Actibacterium lipolyticum,#71EF63
Actibacterium mucosum,#29BD43
Actibacterium pelagium,#11C91A
Actibacterium sp. 188UL27-1,#E6709B
Actibacterium sp. MT2.3-13A,#CD12E2
Actibacterium ureilyticum,#229D7B
Actinoallomurus,#96972A
Actinoallomurus bryophytorum,#1BAD32
Actinoalloteichus,#65259C
Actinoalloteichus hoggarensis,#BE5515
Actinoalloteichus hymeniacidonis,#18B313
Actinoalloteichus spitiensis,#C230C6
Actinobacillus,#C17627
Actinobacillus delphinicola,#1C7DB9
Actinobacillus lignieresii,#7207B6
Actinobacillus minor,#21F488
Actinobacillus pleuropneumoniae,#62D1E5
Actinobacillus seminis,#D85463
Actinobacillus sp. GY-402,#62ADF8
Actinobacteria,#1C36CE
Actinobacteria bacterium,#67CCDB
Actinobacteria bacterium 13_1_20CM_2_65_11,#68D1EB
Actinobacteria bacterium 13_1_20CM_3_68_10,#209654
Actinobacteria bacterium 13_1_20CM_3_68_9,#0BC59D
Actinobacteria bacterium 13_1_20CM_3_71_11,#6AEE43
Actinobacteria bacterium 13_1_20CM_4_68_12,#E22031
Actinobacteria bacterium 13_1_20CM_4_69_9,#EE0812
Actinobacteria bacterium 13_1_40CM_2_65_8,#C6D126
Actinobacteria bacterium 13_1_40CM_3_66_19,#C276DB
Actinobacteria bacterium 13_1_40CM_4_65_12,#E1C835
Actinobacteria bacterium 13_1_40CM_66_12,#9034E0
Actinobacteria bacterium 13_2_20CM_2_66_6,#52E352
Actinobacteria bacterium 13_2_20CM_2_71_6,#0DE55F
Actinobacteria bacterium 13_2_20CM_2_72_6,#1337B5
Actinobacteria bacterium 13_2_20CM_68_14,#1BA037
Actinobacteria bacterium 21-64-8,#21D62D
Actinobacteria bacterium 21-73-9,#75D24E
Actinobacteria bacterium 66_15,#DB4E3C
Actinobacteria bacterium 69-20,#33E933
Actinobacteria bacterium ADurb.Bin346,#8242CA
Actinobacteria bacterium ADurb.Bin444,#4923D4
Actinobacteria bacterium ADurb.BinA094,#EE1E4E
Actinobacteria bacterium BACL2 MAG-120813-bin23,#7CDE7A
Actinobacteria bacterium HGW-Actinobacteria-1,#5CE1AB
Actinobacteria bacterium HGW-Actinobacteria-10,#E0564A
Actinobacteria bacterium HGW-Actinobacteria-2,#BA61DE
Actinobacteria bacterium HGW-Actinobacteria-4,#444CCE
Actinobacteria bacterium HGW-Actinobacteria-5,#8F25C6
Actinobacteria bacterium HGW-Actinobacteria-6,#513BEC
Actinobacteria bacterium HGW-Actinobacteria-7,#A7E72F
Actinobacteria bacterium HGW-Actinobacteria-8,#A13A1F
Actinobacteria bacterium HGW-Actinobacteria-9,#4BE417
Actinobacteria bacterium IMCC25003,#7AA52B
Actinobacteria bacterium IMCC26207,#F2DC29
Actinobacteria bacterium IMCC26256,#4FBEE9
Actinobacteria bacterium OK006,#6DDB79
Actinobacteria bacterium OK074,#681BE4
Actinobacteria bacterium OV450,#5CDB82
Actinobacteria bacterium QS_5_72_10,#0F8CBD
Actinobacteria bacterium QS_8_72_14,#26C1CC
Actinobacteria bacterium RBG_13_35_12,#2A69A0
Actinobacteria bacterium RBG_13_63_9,#3138B2
