	Domain	Phylum	Class	Order	Family	Genus	Species
OTU25490	Bacteria	Candidatus Microgenomates	 NA	Unclassified	Unclassified	Unclassified	 Microgenomates bacterium 39_7
OTU25491	Bacteria	Bacteroidota	 Bacteroidia	Bacteroidales	Dysgonomonadaceae	Petrimonas	 Petrimonas mucosa
OTU25492	Bacteria	Deinococcota	 Deinococci	Thermales	Thermaceae	Thermus	 Thermus sp. SYSU G00630
OTU25493	Bacteria	Candidatus Giovannonibacteria	 NA	Unclassified	Unclassified	Unclassified	 Candidatus Giovannonibacteria bacterium RIFCSPLOWO2_01_FULL_44_40
OTU25494	Bacteria	Pseudomonadota	 Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	 Campylobacter troglodytis
OTU25495	Bacteria	Pseudomonadota	 Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	 Pseudomonas sp. S49
OTU25496	Bacteria	Pseudomonadota	 Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	 Francisella philomiragia
OTU25497	Bacteria	Actinomycetota	 Actinomycetia	Mycobacteriales	Nocardiaceae	Williamsia	 Williamsia phyllosphaerae
OTU25498	Bacteria	Actinomycetota	 Actinomycetia	Candidatus Nanopelagicales	Candidatus Nanopelagicaceae	Candidatus Planktophila	 Candidatus Planktophila dulcis
OTU25499	Bacteria	Pseudomonadota	 Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Antarctobacter	 Antarctobacter heliothermus
OTU25500	Bacteria	Candidatus Saccharibacteria	 NA	Unclassified	Unclassified	Unclassified	 TM7 phylum sp. oral taxon 350
OTU25501	Bacteria	Pseudomonadota	 Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea	 Pandoraea sp. B-6
OTU25502	Bacteria	Bacteroidota	 Cytophagia	Cytophagales	Cyclobacteriaceae	Arthrospiribacter	 Arthrospiribacter ruber
OTU25503	Bacteria	Pseudomonadota	 Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Devosia	 Devosia rhizoryzae
OTU25504	Bacteria	Actinomycetota	 Actinomycetia	Kitasatosporales	Streptomycetaceae	Streptomyces	 Streptomyces sp. D2-8
OTU25505	Archaea	Methanobacteriota	 Halobacteria	Halobacteriales	Unclassified	Unclassified	 Halobacteriales archaeon QS_9_67_17
OTU25506	Bacteria	Candidatus Levybacteria	 NA	Unclassified	Unclassified	Unclassified	 Candidatus Levybacteria bacterium RIFCSPLOWO2_01_FULL_42_15
OTU25507	Bacteria	Bacillota	 Bacilli	Caryophanales	Bacillaceae	Bacillus	 Bacillus sp. N1-1
OTU25508	Bacteria	Deinococcota	 Deinococci	Deinococcales	Deinococcaceae	Deinococcus	 Deinococcus frigens
OTU25509	Bacteria	Pseudomonadota	 Betaproteobacteria	Rhodocyclales	Azonexaceae	Dechloromonas	 Dechloromonas aromatica
OTU25510	Archaea	Microcaldota	 NA	Unclassified	Unclassified	Unclassified	 Candidatus Micrarchaeota archaeon CG1_02_60_51
OTU25511	Bacteria	Actinomycetota	 Actinomycetia	Micrococcales	Micrococcaceae	Arthrobacter	 Arthrobacter sp. M4
OTU25512	Bacteria	Pseudomonadota	 Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	 Erwinia sp. 198
OTU25513	Bacteria	Bacteroidota	 Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	 Pedobacter sp. SYP-B3415
OTU25514	Bacteria	Pseudomonadota	 Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Bradyrhizobium	 Bradyrhizobium sp. 62
OTU25515	Eukaryota	Ascomycota	 Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	 NA
OTU25516	Bacteria	Bacillota	 Clostridia	Eubacteriales	Lachnospiraceae	Anaerosporobacter	 NA
OTU25517	Bacteria	Pseudomonadota	 Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Pseudoxanthomonas	 Pseudoxanthomonas sp. PXM01
