KO,category,description,ST8_group,data_layer,amazonian_mean_count,external_group_mean_count,log2_ratio_amazonia_vs_external,n_external_samples,detection_fraction_external
K08929: pufM,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosynthetic reaction center M subunit (pufM),Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metatranscriptomics,0.25,0.0,0.3219280948873623,4,0.0
K08929: pufM,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosynthetic reaction center M subunit (pufM),Optional outgroup: Hydrothermal Fe-rich mats,Metagenomics,0.25,0.0,0.3219280948873623,9,0.0
K08929: pufM,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosynthetic reaction center M subunit (pufM),Other iron-rich / unassigned,Metagenomics,0.25,0.0,0.3219280948873623,1,0.0
K08940: pscA,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosystem P840 reaction center large subunit (pscA),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metagenomics,0.0,0.0,0.0,4,0.0
K08940: pscA,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosystem P840 reaction center large subunit (pscA),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metatranscriptomics,0.0,0.0,0.0,7,0.0
K08940: pscA,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosystem P840 reaction center large subunit (pscA),Control: Burr Oak Reservoir BO4,Metagenomics,0.0,0.0,0.0,2,0.0
K08940: pscA,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosystem P840 reaction center large subunit (pscA),Ferruginous lake/sediment group: Lake Matano,Metagenomics,0.0,8.0,-3.169925001442313,6,0.8333333333333334
K08940: pscA,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosystem P840 reaction center large subunit (pscA),Ferruginous lake/sediment group: Lake Superior,Combined assembly,0.0,0.0,0.0,1,0.0
K08940: pscA,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosystem P840 reaction center large subunit (pscA),Ferruginous lake/sediment group: Lake Superior,Metatranscriptomics,0.0,0.0,0.0,1,0.0
K08940: pscA,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosystem P840 reaction center large subunit (pscA),Ferruginous lake/sediment group: Lake Towuti,Metagenomics,0.0,0.2727272727272727,-0.3479233034203069,11,0.1818181818181818
K08940: pscA,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosystem P840 reaction center large subunit (pscA),Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metagenomics,0.0,0.0,0.0,21,0.0
K08940: pscA,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosystem P840 reaction center large subunit (pscA),Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metatranscriptomics,0.0,0.0,0.0,4,0.0
K08940: pscA,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosystem P840 reaction center large subunit (pscA),Optional outgroup: Hydrothermal Fe-rich mats,Metagenomics,0.0,0.0,0.0,9,0.0
K08940: pscA,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosystem P840 reaction center large subunit (pscA),Other iron-rich / unassigned,Metagenomics,0.0,0.0,0.0,1,0.0
K13992: psaB,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosynthetic reaction center cytochrome c subunit (pufC),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metagenomics,0.45,3.75,-1.711874613203376,4,1.0
K13992: psaB,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosynthetic reaction center cytochrome c subunit (pufC),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metatranscriptomics,0.45,0.0,0.5360529002402097,7,0.0
K13992: psaB,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosynthetic reaction center cytochrome c subunit (pufC),Control: Burr Oak Reservoir BO4,Metagenomics,0.45,1.0,-0.4639470997597903,2,0.5
