	Ga0540489_genes.fna.	Ga0541010_genes.fna.	Ga0541012_genes.fna.	Ga0541011_genes.fna.	Ga0541014_genes.fna.	Ga0541013_genes.fna.	Ga0541015_genes.fna.	Ga0541016_genes.fna.	Ga0541017_genes.fna.	Ga0541018_genes.fna.	Ga0541019_genes.fna.	Ga0541020_genes.fna.	Ga0541021_genes.fna.	Ga0541022_genes.fna.	Ga0541023_genes.fna.	Ga0541024_genes.fna.	Ga0541025_genes.fna.	Ga0541026_genes.fna.	Ga0541027_genes.fna.	Ga0541028_genes.fna.
OTU00276	9	1	1	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0
OTU00277	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU00278	2	5	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0
OTU00279	3	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU00280	3	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0
OTU00281	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU00282	6	2	2	1	1	5	3	1	4	2	1	3	4	3	3	4	0	2	3	2
OTU00283	5	3	2	0	2	5	4	1	3	1	1	2	9	0	6	6	0	2	1	1
OTU00284	5	3	2	0	0	0	3	0	1	0	0	3	1	1	3	3	0	0	0	0
OTU00285	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU00286	14	7	3	1	1	6	2	1	8	3	2	5	2	3	10	2	1	2	0	2
OTU00287	2	0	2	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1
OTU00288	7	6	1	1	0	2	1	0	2	1	0	4	2	0	4	2	1	2	0	2
OTU00289	6	3	1	0	1	1	1	1	7	2	0	3	3	1	7	3	0	0	0	0
OTU00290	6	7	3	0	0	0	3	1	7	1	1	6	4	0	4	1	0	0	0	0
OTU00291	8	5	2	0	2	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0
OTU00292	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00293	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU00294	17	10	3	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	1
OTU00295	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00296	3	2	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	1	0	0
OTU00297	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00298	11	4	1	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1
OTU00299	7	3	1	0	0	0	1	0	1	1	0	0	2	0	1	2	0	0	0	0
OTU00300	96	63	32	0	0	6	3	2	15	4	2	2	4	6	5	3	0	34	12	6
OTU00301	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU00302	731	264	296	5	38	49	67	33	447	35	13	87	127	17	304	145	3	32	19	20
OTU00303	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00304	9	2	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00305	1	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
OTU00306	1	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU00307	10	6	16	2	10	10	9	8	13	3	4	11	12	8	13	11	1	6	7	6
OTU00308	458	599	543	68	389	407	400	298	2040	185	151	2262	2383	219	2651	1925	10	135	108	89
OTU00309	3	0	0	1	1	0	0	0	3	0	1	1	1	0	1	1	0	0	0	1
OTU00310	8	2	1	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0
OTU00311	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00312	46	51	47	12	33	72	85	29	109	24	17	44	79	41	64	41	1	17	16	23
OTU00313	11	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
OTU00314	14	8	3	0	0	3	2	3	3	0	0	0	0	0	3	1	0	0	1	1
OTU00315	10	2	2	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0
OTU00316	18	2	0	0	0	1	1	2	1	0	0	0	0	0	1	0	0	2	1	0
OTU00317	130	136	0	3	2	1	1	1	1	0	0	4	4	3	14	8	1	7	2	1
OTU00318	8	9	15	29	5	11	10	0	4	3	17	21	5	16	0	5	3	17	8	4
OTU00319	1310	907	1077	596	450	1137	1261	534	832	633	561	1029	1075	726	830	884	53	440	691	697
OTU00320	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
OTU00321	5	2	0	0	1	0	0	0	3	0	1	1	1	0	0	1	0	0	0	0
OTU00322	6	2	0	1	0	0	0	0	2	0	0	2	5	0	7	2	0	2	0	0
OTU00323	139	142	189	73	89	175	208	90	175	96	62	188	224	116	205	195	12	91	96	102
OTU00324	1861	959	589	19	64	177	177	67	1186	64	29	106	188	40	418	257	11	282	56	42
OTU00325	2	1	2	0	0	0	1	0	2	0	0	1	1	0	2	0	0	0	0	0
OTU00326	15	3	0	1	1	1	2	0	2	0	1	4	2	0	3	1	0	0	3	0
OTU00327	6	2	0	0	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	0
OTU00328	2	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
OTU00329	6	2	0	0	1	0	0	0	1	2	1	1	2	1	1	0	0	1	1	0
OTU00330	1	1	0	1	0	1	1	0	1	0	0	1	1	1	1	0	0	0	0	0
OTU00331	19	10	10	2	1	5	1	2	7	0	1	7	2	0	11	8	0	1	2	3
OTU00332	6	1	1	0	1	0	1	1	1	0	0	0	1	0	0	1	0	0	0	1
OTU00333	5	2	1	0	1	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0
OTU00334	55	22	7	0	2	1	2	2	7	0	0	0	2	2	4	3	1	4	2	4
OTU00335	30	15	6	1	0	5	2	0	3	2	1	4	3	2	12	7	1	4	1	2
OTU00336	10	8	4	0	2	3	0	1	3	0	0	3	1	3	6	6	1	1	0	0
OTU00337	3	0	3	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
OTU00338	5	3	0	0	0	0	2	3	1	0	0	0	0	0	1	1	0	0	0	0
OTU00339	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0
OTU00340	6	4	3	2	0	1	1	0	4	1	3	4	2	5	1	2	1	3	2	2
OTU00341	8	2	3	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0
OTU00342	2	0	1	0	0	2	1	0	0	0	0	0	1	0	2	0	0	0	0	1
OTU00343	2	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0
OTU00344	1	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0
OTU00345	19	9	4	0	0	0	1	1	2	0	0	2	0	0	2	0	0	0	1	0
OTU00346	5	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
OTU00347	2	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	1	0	0
OTU00348	1	2	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU00349	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
OTU00350	9	2	5	1	0	3	2	1	1	2	1	2	4	1	2	2	1	0	1	0
OTU00351	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU00352	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU00353	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU00354	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU00355	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00356	5	0	0	0	0	1	0	0	3	0	0	0	0	0	2	2	0	0	0	0
OTU00357	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
OTU00358	3	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
OTU00359	307	232	220	48	88	139	186	76	240	71	51	206	232	104	277	210	14	92	87	81
OTU00360	2	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0
OTU00361	6	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
OTU00362	11	5	2	0	0	0	1	0	1	0	0	1	4	3	1	2	0	1	0	1
OTU00363	35	8	3	1	2	4	1	0	2	4	1	1	1	5	3	0	1	3	2	2
OTU00364	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0
OTU00365	5	3	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0
OTU00366	39	16	1	2	1	0	3	0	2	0	0	2	0	1	2	2	1	0	0	0
OTU00367	242	189	303	48	129	376	324	136	428	117	60	321	377	110	437	299	11	81	79	106
OTU00368	5	2	3	0	0	2	6	4	3	1	1	3	2	2	4	0	0	0	0	2
OTU00369	31	15	3	1	2	1	1	0	2	0	0	1	3	0	0	2	0	0	0	0
OTU00370	9	15	26	13	8	48	22	15	20	43	13	48	39	29	10	22	4	11	14	12
OTU00371	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00372	9	6	5	5	2	7	13	2	12	5	5	3	12	4	14	8	1	0	5	2
OTU00373	129	178	130	31	4	76	28	17	8	68	138	143	98	224	38	96	61	138	145	148
OTU00374	7	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU00375	4	7	1	0	0	1	0	0	3	0	0	3	4	0	3	0	0	0	0	0
OTU00376	176	287	469	344	223	487	527	208	379	313	209	499	458	559	340	425	16	233	376	320
OTU00377	1	0	0	0	0	0	1	0	0	0	0	1	3	0	3	1	0	0	1	1
OTU00378	3	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU00379	7	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
OTU00380	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU00381	2	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
OTU00382	2	3	4	4	3	3	3	1	4	5	3	10	6	8	0	2	2	1	3	2
OTU00383	11	4	1	0	0	1	2	1	3	0	0	0	1	1	2	0	0	0	0	1
OTU00384	5	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1
OTU00385	5	4	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1
OTU00386	2	3	2	1	3	0	2	3	2	0	0	3	0	2	5	0	0	1	0	0
OTU00387	4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0
OTU00388	555	72	232	33	5	42	25	16	14	15	64	76	30	54	25	44	124	330	155	18
OTU00389	172	95	136	44	51	145	142	59	121	62	53	141	170	64	187	144	7	66	60	50
OTU00390	97	57	49	45	34	66	99	35	44	32	43	75	97	48	109	95	7	40	36	53
OTU00391	5	3	3	4	2	2	3	1	4	4	0	2	7	3	0	2	0	4	1	1
OTU00392	364	300	190	8	15	185	36	23	9	13	104	107	154	250	107	269	175	179	197	117
OTU00393	4	3	0	0	0	1	2	0	2	0	1	1	2	0	1	1	0	0	1	0
OTU00394	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00395	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00396	4	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1
OTU00397	6	2	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
OTU00398	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU00399	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0
OTU00400	5	2	3	0	0	0	1	0	1	0	0	0	3	2	0	1	1	0	0	1
OTU00401	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
OTU00402	700	270	31	7	4	12	23	4	42	10	6	8	19	18	33	30	5	67	10	8
OTU00403	941	605	241	20	47	87	92	33	416	40	16	90	119	35	256	144	5	86	32	27
OTU00404	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00405	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU00406	3	0	1	0	1	1	2	0	1	1	1	1	1	1	1	0	0	0	0	0
OTU00407	6	0	0	0	1	1	1	0	0	0	1	0	5	0	2	0	0	0	0	0
OTU00408	14	7	3	2	0	0	1	2	5	3	1	2	5	0	5	2	1	0	1	1
OTU00409	14	1	4	0	0	1	0	1	1	0	0	0	0	0	3	0	0	0	0	0
OTU00410	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00411	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0
OTU00412	147	97	2	5	1	1	2	1	1	2	0	4	4	1	12	4	0	1	1	0
OTU00413	9	2	2	1	1	6	7	3	8	2	1	5	4	0	13	6	0	2	0	2
OTU00414	58	23	18	2	4	8	10	10	47	4	1	23	26	5	32	17	1	7	7	1
OTU00415	6	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1
OTU00416	3	5	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0
OTU00417	35	39	15	10	12	19	11	9	27	9	7	14	22	9	28	21	2	11	5	7
OTU00418	6	5	1	1	0	0	0	0	0	0	0	1	0	1	2	1	0	1	0	2
OTU00419	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
OTU00420	3	3	2	1	0	0	1	0	2	0	0	1	0	0	4	3	0	0	0	0
OTU00421	13	5	1	0	0	0	1	0	2	0	1	0	1	1	2	2	0	3	0	0
OTU00422	7	2	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0
OTU00423	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00424	13	5	1	1	1	2	1	2	7	0	1	0	1	0	2	1	0	0	1	0
OTU00425	5	2	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
OTU00426	3	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
OTU00427	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00428	9	2	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
OTU00429	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
OTU00430	3	24	127	78	50	147	140	77	17	45	40	81	73	74	14	36	5	29	86	91
OTU00431	7	10	24	3	1	10	13	4	12	14	4	13	10	10	6	13	4	14	12	6
OTU00432	487	356	88	8	14	24	27	5	71	18	7	27	26	17	137	62	2	54	37	26
OTU00433	27	9	8	0	0	1	0	0	0	0	0	1	1	0	2	0	0	0	0	2
OTU00434	3	6	3	5	1	2	2	0	4	3	8	11	2	5	5	5	1	10	1	1
OTU00435	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
OTU00436	3	0	0	0	0	0	0	0	1	0	0	1	2	1	1	0	0	0	0	0
OTU00437	5	0	1	0	0	0	1	0	2	0	0	0	0	1	1	2	0	0	0	1
OTU00438	13	16	16	3	8	17	22	14	33	16	3	50	62	10	69	62	2	8	10	7
OTU00439	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00440	3	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
OTU00441	28	10	2	3	5	4	5	2	7	2	1	6	5	3	7	5	1	1	2	1
OTU00442	37	15	7	2	3	7	7	4	14	4	1	4	5	3	8	4	0	7	2	1
OTU00443	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
OTU00444	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU00445	5	3	2	0	2	4	0	0	10	1	1	4	3	0	8	4	0	1	0	0
OTU00446	4	1	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0
OTU00447	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU00448	14	5	1	1	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0
OTU00449	168	38	63	30	17	37	40	24	16	16	40	47	50	52	16	39	32	64	54	27
OTU00450	12	13	7	2	3	11	9	5	60	3	4	14	22	7	41	17	1	1	5	4
OTU00451	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00452	32	25	6	1	1	3	4	2	10	5	1	1	2	3	2	15	3	28	5	5
OTU00453	168	9	30	4	5	14	14	9	7	7	11	22	9	24	9	9	39	73	44	6
OTU00454	3	4	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0
OTU00455	4	24	37	66	4	24	20	8	1	9	50	56	15	35	9	12	3	30	36	18
OTU00456	3	1	1	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0
OTU00457	4	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0
OTU00458	7	4	3	1	0	0	1	1	1	0	0	1	0	1	0	0	0	1	0	1
OTU00459	6	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
OTU00460	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00461	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU00462	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0
OTU00463	43	25	16	1	0	8	3	4	8	8	3	4	12	4	19	9	1	7	6	2
OTU00464	2	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	1	0	0
OTU00465	1	3	0	0	0	0	0	0	2	0	0	1	3	0	0	0	1	0	0	0
OTU00466	8	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
OTU00467	2058	2710	1063	39	146	149	173	98	722	103	49	365	471	99	744	559	18	97	82	86
OTU00468	30	18	9	5	3	11	12	4	12	7	6	10	11	5	15	12	1	7	12	9
OTU00469	5	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU00470	2	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1
OTU00471	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00472	176	71	692	6	19	13	20	19	192	9	4	46	93	13	214	94	2	9	75	148
OTU00473	18	26	6	0	1	0	2	0	8	1	0	0	2	0	5	3	0	2	0	2
OTU00474	23	10	23	1	4	4	5	3	27	5	3	6	3	4	14	8	0	5	2	1
OTU00475	68	55	37	17	18	35	36	17	34	18	13	50	58	21	53	35	2	19	17	21
OTU00476	7	6	2	0	2	2	2	2	5	1	1	3	4	0	10	8	0	0	1	2
OTU00477	10	7	1	0	0	1	1	1	6	0	0	1	2	1	4	2	0	2	0	1
OTU00478	7	2	1	0	0	1	3	3	8	0	1	12	7	2	12	5	0	0	1	0
OTU00479	10	1	0	0	2	0	5	3	6	3	0	3	5	1	6	5	0	1	0	2
OTU00480	1	0	1	0	0	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0
OTU00481	18	12	11	4	1	3	7	2	8	4	4	3	13	2	7	6	0	1	6	3
OTU00482	7	2	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0
OTU00483	11	10	11	3	0	2	2	1	6	2	0	5	7	1	11	4	0	3	0	3
OTU00484	250	190	21	0	10	12	21	10	31	6	2	27	28	3	69	31	0	3	4	2
OTU00485	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00486	3	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
OTU00487	4	2	6	0	0	0	2	0	17	2	0	0	2	0	3	0	0	0	0	0
OTU00488	355	74	59	26	41	1136	169	106	36	16	25	49	60	52	127	660	76	678	184	48
OTU00489	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00490	4	1	6	1	2	12	5	0	5	4	1	7	5	3	9	6	0	0	0	3
OTU00491	3	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU00492	2	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
OTU00493	4	6	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	1	0
OTU00494	2	7	1	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0
OTU00495	25	14	6	0	0	7	5	2	10	1	2	3	3	4	3	7	1	4	0	3
OTU00496	8	5	2	0	0	3	0	1	1	1	0	1	3	1	1	2	0	0	1	0
OTU00497	86	46	19	8	11	13	8	6	25	7	10	22	30	15	28	15	2	15	16	14
OTU00498	29	17	5	0	2	2	6	1	20	3	2	4	10	2	14	6	0	4	2	3
OTU00499	3	1	1	2	0	0	0	1	0	2	1	0	0	1	0	0	0	0	2	1
OTU00500	6	5	1	0	0	2	1	0	3	1	1	0	3	0	4	0	0	0	0	0
OTU00501	11	6	3	0	3	3	3	1	5	1	0	5	6	0	8	6	0	0	0	1
OTU00502	265	111	27	29	14	23	39	12	62	32	19	28	28	15	41	39	1	27	33	24
OTU00503	3	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0
OTU00504	13	9	1	0	0	1	2	0	3	2	0	0	0	0	3	2	0	1	0	0
OTU00505	6	9	3	1	1	1	0	1	2	0	0	2	1	2	3	1	0	2	2	1
OTU00506	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
OTU00507	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU00508	4	3	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
OTU00509	52	23	6	1	2	4	3	1	8	3	2	3	5	8	11	13	1	9	10	2
OTU00510	3	3	4	1	1	3	1	0	6	1	0	5	5	3	3	2	0	1	1	0
OTU00511	3	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	1
OTU00512	7	3	0	0	0	2	0	0	1	0	0	1	0	0	1	0	0	0	1	0
OTU00513	12	2	2	0	3	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0
OTU00514	4	0	1	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	1	1
OTU00515	3	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0
OTU00516	4	1	1	0	1	0	2	0	1	0	1	2	0	2	6	3	1	1	1	1
OTU00517	11	4	3	2	0	3	0	1	0	1	0	2	0	1	0	1	0	0	1	1
OTU00518	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
OTU00519	6	0	1	0	1	1	2	1	0	1	0	1	1	0	1	1	1	0	0	1
OTU00520	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
OTU00521	7	15	17	3	6	9	19	7	24	10	4	28	43	9	39	25	0	5	8	5
OTU00522	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU00523	2	0	0	0	2	0	1	1	1	0	0	0	0	2	1	0	0	0	0	1
OTU00524	8	4	7	2	0	1	3	1	5	0	0	3	2	0	4	0	0	0	0	0
OTU00525	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU00526	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
OTU00527	5	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00528	8	7	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1
OTU00529	6	2	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
OTU00530	495	462	557	282	329	623	736	330	547	309	213	540	692	406	636	539	21	258	270	251
OTU00531	4	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU00532	5	2	1	1	1	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0
OTU00533	9	6	2	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0
OTU00534	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0
OTU00535	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0
OTU00536	6	4	3	0	1	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0
OTU00537	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00538	6	2	1	0	0	0	1	2	0	0	0	2	1	0	1	1	0	0	0	0
OTU00539	9	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0
OTU00540	15	4	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0
OTU00541	3	0	0	0	1	0	2	0	0	0	0	0	1	0	0	1	0	1	0	0
OTU00542	6	3	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0
OTU00543	2	1	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	1
OTU00544	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00545	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00546	6	3	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0
OTU00547	103	19	27	14	4	9	9	2	4	5	26	30	16	27	5	16	19	52	38	5
OTU00548	3	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0
OTU00549	2	2	0	0	0	2	0	0	0	1	1	1	0	1	0	1	0	0	1	0
OTU00550	103	45	41	2	16	23	24	6	58	15	9	24	32	12	47	34	0	19	10	5
OTU00551	32	14	6	0	1	2	1	1	10	3	0	2	6	0	9	3	0	3	0	0
OTU00552	1	1	0	0	0	0	0	1	2	0	0	1	0	0	1	1	0	0	0	0
OTU00553	5	1	1	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0
OTU00554	11	6	7	1	1	2	2	3	17	1	0	1	0	0	5	3	0	1	0	2
OTU00555	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0
OTU00556	26	5	5	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0
OTU00557	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU00558	9	1	1	1	0	0	1	0	2	0	0	0	0	1	1	0	0	0	1	0
OTU00559	3	2	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0
OTU00560	3	1	3	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0
OTU00561	12	3	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0
OTU00562	3	1	0	0	0	1	0	0	0	0	0	0	1	1	1	2	0	0	0	0
OTU00563	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00564	9	6	9	0	0	3	0	1	1	0	3	5	6	10	2	7	5	9	10	8
OTU00565	15	9	1	0	3	3	4	1	6	2	0	2	4	0	4	5	0	2	0	0
OTU00566	11	2	3	0	3	0	3	0	6	5	0	2	4	1	8	4	0	3	1	0
OTU00567	1082	771	199	20	105	123	144	73	655	50	16	278	394	44	639	433	6	43	28	27
OTU00568	10	0	0	0	0	0	2	0	1	0	0	1	2	0	3	2	0	0	0	0
OTU00569	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU00570	15	3	2	0	2	0	3	1	11	0	1	5	7	1	8	3	1	0	1	1
OTU00571	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0
OTU00572	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
