,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
"K08097: comA | Methanogenesis: Coenzyme M (mercaptoethane sulfonate, CoM) biosynthesis",7,5,5,7,5,3,4,0,6,3,5,8,3,4,9,5,0,3,4,3
K08264: hdrD | Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),32,63,84,108,65,36,65,32,22,40,57,116,85,95,41,63,19,67,68,52
K08265: hdrE | Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),2,0,0,1,0,0,2,2,0,0,0,1,0,0,0,0,0,1,1,0
K08928: pufL | Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
K08929: pufM | Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0
K08930: pucA | Oxygenic photosynthesis (Purple sulfur bacterium),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
K09709: meh | Carbon Fixation: 3-Hydroxypropionate bi-cycle,10,2,0,2,0,0,0,0,1,1,0,1,1,0,3,3,0,0,1,0
K10150: cysO | Sulfur metabolism,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K10535: hao | Nitrogen: Nitrification; Complete nitrification, comammox (oxidation pathways)",45,42,9,27,20,9,18,11,22,11,5,44,38,13,40,29,4,20,16,13
K10944: pmoA-amoA | Nitrification; Methane oxidation; Methanotrophs,3,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0
