	Domain	Phylum	Class	Order	Family	Genus	Species
OTU02427	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 NA	 Rivibacter	 Rivibacter subsaxonicus
OTU02428	Bacteria	 Actinobacteria	 Actinomycetia	 Geodermatophilales	 Geodermatophilaceae	 Geodermatophilus	 Geodermatophilus normandii
OTU02429	Bacteria	 Actinobacteria	 Actinomycetia	 Propionibacteriales	 Propionibacteriaceae	 Auraticoccus	 Auraticoccus cholistanensis
OTU02430	Bacteria	 Actinobacteria	 Actinomycetia	 Streptosporangiales	 Streptosporangiaceae	 Herbidospora	 Herbidospora daliensis
OTU02431	Bacteria	 Actinobacteria	 Actinomycetia	 Micromonosporales	 Micromonosporaceae	 Actinoplanes	 Actinoplanes digitatis
OTU02432	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfobacterales	 Desulfocapsaceae	 Desulfocapsa	 Desulfocapsa sp.
OTU02433	Bacteria	 Nitrospinae	 NA	 NA	 NA	 NA	 Nitrospinae bacterium CG11_big_fil_rev_8_21_14_0_20_56_8
OTU02434	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Rhodanobacteraceae	 Oleiagrimonas	 NA
OTU02435	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Nannocystaceae	 Pseudenhygromyxa	 Pseudenhygromyxa sp. WMMC2535
OTU02436	Bacteria	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium attenuatum
OTU02437	Bacteria	 Actinobacteria	 Actinomycetia	 Micrococcales	 Micrococcaceae	 Arthrobacter	 Arthrobacter sp. AFG7.2
OTU02438	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Yinghuangia	 Yinghuangia sp. ASG 101
OTU02439	Bacteria	 Acidobacteria	 Acidobacteriia	 Acidobacteriales	 Acidobacteriaceae	 Granulicella	 Granulicella sp. S190
OTU02440	Bacteria	 Proteobacteria	 Betaproteobacteria	 Rhodocyclales	 Azonexaceae	 NA	 NA
OTU02441	Bacteria	 NA	 NA	 NA	 NA	 NA	 Patescibacteria group bacterium
OTU02442	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Stellaceae	 Stella	 Stella humosa
OTU02443	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Geminicoccaceae	 Geminicoccus	 NA
OTU02444	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Erythrobacteraceae	 Croceibacterium	 Croceibacterium salegens
OTU02445	Bacteria	 Acidobacteria	 NA	 NA	 NA	 NA	 Acidobacteria bacterium 13_1_20CM_2_57_8
OTU02446	Bacteria	 Verrucomicrobia	 Spartobacteria	 Chthoniobacterales	 Chthoniobacteraceae	 Candidatus Udaeobacter	 Candidatus Udaeobacter sp.
OTU02447	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Variovorax	 Variovorax sp. OV329
OTU02448	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Alicyclobacillaceae	 Alicyclobacillus	 Alicyclobacillus macrosporangiidus
OTU02449	Bacteria	 Planctomycetes	 NA	 NA	 NA	 NA	 Planctomycetes bacterium RIFCSPLOWO2_12_FULL_40_19
OTU02450	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Thiotrichales	 NA	 NA	 Thiotrichales bacterium SG8_50
OTU02451	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Chromatiales	 Chromatiaceae	 Thiocapsa	 Thiocapsa imhoffii
OTU02452	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Caulobacterales	 Caulobacteraceae	 NA	 Caulobacteraceae bacterium
OTU02453	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Phyllobacteriaceae	 Pseudaminobacter	 Pseudaminobacter salicylatoxidans
OTU02454	Bacteria	 Actinobacteria	 Actinomycetia	 Glycomycetales	 Glycomycetaceae	 Stackebrandtia	 Stackebrandtia endophytica
OTU02455	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Kitasatospora	 Kitasatospora atroaurantiaca
OTU02456	Bacteria	 candidate division NC10	 NA	 NA	 NA	 NA	 candidate division NC10 bacterium
OTU02457	Eukaryota	 Oomycota	 NA	 Pythiales	 Pythiaceae	 Pythium	 Pythium oligandrum
OTU02458	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	 Burkholderia sp. L27(2015)
OTU02459	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Bradyrhizobiaceae	 Bradyrhizobium	 Bradyrhizobium canariense
OTU02460	Bacteria	 Chloroflexi	 Anaerolineae	 Anaerolineales	 Anaerolineaceae	 Levilinea	 Levilinea saccharolytica
OTU02461	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Phyllobacteriaceae	 Mesorhizobium	 Mesorhizobium sp. WSM3873
OTU02462	Bacteria	 Chloroflexi	 NA	 NA	 NA	 NA	 SAR202 cluster bacterium Io17-Chloro-G9
OTU02463	Bacteria	 Actinobacteria	 Actinomycetia	 Geodermatophilales	 Geodermatophilaceae	 Blastococcus	 Blastococcus aggregatus
OTU02464	Bacteria	 Proteobacteria	 Betaproteobacteria	 Nitrosomonadales	 Gallionellaceae	 Gallionella	 Candidatus Gallionella acididurans
OTU02465	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Oxalobacteraceae	 Collimonas	 Collimonas silvisoli
OTU02466	Bacteria	 Actinobacteria	 Actinomycetia	 Geodermatophilales	 Geodermatophilaceae	 Blastococcus	 Blastococcus sp. TF02A-26
OTU02467	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Capnocytophaga	 NA
OTU02468	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Rhodospirillaceae	 Hypericibacter	 Hypericibacter adhaerens
OTU02469	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas trivialis
OTU02470	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 NA	 Aquabacterium	 Aquabacterium sp.
