display_group,taxon,count_or_abundance,relative_abundance_percent,taxonomy_level,layer_filter,top_n,colour_hex,script,input_table
Optional outgroup: Hydrothermal Fe-rich mats,Bacteria:Bacillota_A,28429,1.1673519232008986,Phylum,Metagenomics,20,#D251BD,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Optional outgroup: Hydrothermal Fe-rich mats,Bacteria:Bacillota_B,28768,1.1812719450787383,Phylum,Metagenomics,20,#609F27,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Optional outgroup: Hydrothermal Fe-rich mats,Bacteria:Bacteroidota,233227,9.576769741896515,Phylum,Metagenomics,20,#BF5CD9,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Optional outgroup: Hydrothermal Fe-rich mats,Bacteria:Chloroflexota,69999,2.874299738722421,Phylum,Metagenomics,20,#215EAD,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Optional outgroup: Hydrothermal Fe-rich mats,Bacteria:Cyanobacteriota,46088,1.8924659832031736,Phylum,Metagenomics,20,#CE7012,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Optional outgroup: Hydrothermal Fe-rich mats,Bacteria:Desulfobacterota,185487,7.616469315796022,Phylum,Metagenomics,20,#0F12A1,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Optional outgroup: Hydrothermal Fe-rich mats,Bacteria:Gemmatimonadota,3850,0.1580887440403623,Phylum,Metagenomics,20,#A050DB,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Optional outgroup: Hydrothermal Fe-rich mats,Bacteria:Myxococcota,45321,1.860971420429418,Phylum,Metagenomics,20,#BBEC20,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Optional outgroup: Hydrothermal Fe-rich mats,Bacteria:Nitrospirota,21711,0.8914973303533262,Phylum,Metagenomics,20,#16F78E,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Optional outgroup: Hydrothermal Fe-rich mats,Bacteria:Patescibacteria,11994,0.49249776520002747,Phylum,Metagenomics,20,#E36AE6,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Optional outgroup: Hydrothermal Fe-rich mats,Bacteria:Planctomycetota,98869,4.0597600089679435,Phylum,Metagenomics,20,#20419F,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Optional outgroup: Hydrothermal Fe-rich mats,Bacteria:Pseudomonadota,1230223,50.51543089858874,Phylum,Metagenomics,20,#59FAB4,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Optional outgroup: Hydrothermal Fe-rich mats,Bacteria:Verrucomicrobiota,16230,0.666436445655865,Phylum,Metagenomics,20,#5BD6A6,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Optional outgroup: Hydrothermal Fe-rich mats,Other taxa,167648,6.883964093734717,Phylum,Metagenomics,20,#D4A373,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Other iron-rich / unassigned,Archaea:Halobacteriota,6987,0.5531567221960962,Phylum,Metagenomics,20,#F547E7,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Other iron-rich / unassigned,Archaea:Methanobacteriota_B,1323,0.10474113975460647,Phylum,Metagenomics,20,#CD2187,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
